SlotNumber,Floor,SlotType,Available
91,1,2,true,2019-02-22 17:50:25.072
92,1,2,true,2019-02-22 17:50:25.072
93,1,2,true,2019-02-22 17:50:25.072
94,1,2,true,2019-02-22 17:50:25.072
95,1,2,true,2019-02-22 17:50:25.072
96,1,2,true,2019-02-22 17:50:25.072
97,1,2,true,2019-02-22 17:50:25.072
98,1,2,true,2019-02-22 17:50:25.073
99,1,2,true,2019-02-22 17:50:25.073
100,1,2,true,2019-02-22 17:50:25.073
101,2,3,true,2019-02-22 17:50:25.073
104,2,3,true,2019-02-22 17:50:25.073
105,2,3,true,2019-02-22 17:50:25.073
106,2,3,true,2019-02-22 17:50:25.073
107,2,3,true,2019-02-22 17:50:25.073
108,2,3,true,2019-02-22 17:50:25.073
109,2,3,true,2019-02-22 17:50:25.073
110,2,3,true,2019-02-22 17:50:25.073
111,2,3,true,2019-02-22 17:50:25.073
112,2,3,true,2019-02-22 17:50:25.073
113,2,3,true,2019-02-22 17:50:25.073
114,2,3,true,2019-02-22 17:50:25.074
115,2,3,true,2019-02-22 17:50:25.074
116,2,3,true,2019-02-22 17:50:25.074
117,2,3,true,2019-02-22 17:50:25.074
118,2,3,true,2019-02-22 17:50:25.074
119,2,3,true,2019-02-22 17:50:25.074
120,2,3,true,2019-02-22 17:50:25.074
121,2,3,true,2019-02-22 17:50:25.074
122,2,3,true,2019-02-22 17:50:25.074
123,2,3,true,2019-02-22 17:50:25.074
124,2,3,true,2019-02-22 17:50:25.074
125,2,3,true,2019-02-22 17:50:25.074
126,2,3,true,2019-02-22 17:50:25.074
127,2,3,true,2019-02-22 17:50:25.074
128,2,3,true,2019-02-22 17:50:25.075
129,2,3,true,2019-02-22 17:50:25.075
130,2,3,true,2019-02-22 17:50:25.075
131,2,3,true,2019-02-22 17:50:25.075
132,2,3,true,2019-02-22 17:50:25.075
133,2,3,true,2019-02-22 17:50:25.075
134,2,3,true,2019-02-22 17:50:25.075
135,2,3,true,2019-02-22 17:50:25.075
136,2,3,true,2019-02-22 17:50:25.075
137,2,3,true,2019-02-22 17:50:25.075
138,2,3,true,2019-02-22 17:50:25.075
139,2,3,true,2019-02-22 17:50:25.075
140,2,3,true,2019-02-22 17:50:25.075
141,2,3,true,2019-02-22 17:50:25.075
142,2,3,true,2019-02-22 17:50:25.075
143,2,3,true,2019-02-22 17:50:25.076
144,2,3,true,2019-02-22 17:50:25.076
145,2,3,true,2019-02-22 17:50:25.076
146,2,3,true,2019-02-22 17:50:25.076
147,2,3,true,2019-02-22 17:50:25.076
148,2,3,true,2019-02-22 17:50:25.076
149,2,3,true,2019-02-22 17:50:25.076
150,2,3,true,2019-02-22 17:50:25.076
151,3,2,true,2019-02-22 17:50:25.076
152,3,2,true,2019-02-22 17:50:25.076
153,3,2,true,2019-02-22 17:50:25.076
154,3,2,true,2019-02-22 17:50:25.076
155,3,2,true,2019-02-22 17:50:25.076
156,3,2,true,2019-02-22 17:50:25.077
157,3,2,true,2019-02-22 17:50:25.077
158,3,2,true,2019-02-22 17:50:25.077
159,3,2,true,2019-02-22 17:50:25.077
160,3,2,true,2019-02-22 17:50:25.077
161,3,2,true,2019-02-22 17:50:25.077
162,3,2,true,2019-02-22 17:50:25.077
163,3,2,true,2019-02-22 17:50:25.077
164,3,2,true,2019-02-22 17:50:25.077
165,3,2,true,2019-02-22 17:50:25.077
166,3,2,true,2019-02-22 17:50:25.077
167,3,2,true,2019-02-22 17:50:25.077
168,3,2,true,2019-02-22 17:50:25.077
169,3,2,true,2019-02-22 17:50:25.077
170,3,2,true,2019-02-22 17:50:25.078
171,3,2,true,2019-02-22 17:50:25.078
172,3,2,true,2019-02-22 17:50:25.078
173,3,2,true,2019-02-22 17:50:25.078
174,3,2,true,2019-02-22 17:50:25.078
175,3,2,true,2019-02-22 17:50:25.078
176,3,2,true,2019-02-22 17:50:25.078
177,3,2,true,2019-02-22 17:50:25.078
178,3,2,true,2019-02-22 17:50:25.078
179,3,2,true,2019-02-22 17:50:25.078
180,3,2,true,2019-02-22 17:50:25.078
181,3,2,true,2019-02-22 17:50:25.078
182,3,2,true,2019-02-22 17:50:25.078
183,3,2,true,2019-02-22 17:50:25.078
184,3,2,true,2019-02-22 17:50:25.078
185,3,2,true,2019-02-22 17:50:25.079
186,3,2,true,2019-02-22 17:50:25.079
187,3,2,true,2019-02-22 17:50:25.079
188,3,2,true,2019-02-22 17:50:25.079
189,3,2,true,2019-02-22 17:50:25.079
190,3,2,true,2019-02-22 17:50:25.079
191,3,2,true,2019-02-22 17:50:25.079
192,3,2,true,2019-02-22 17:50:25.079
193,3,2,true,2019-02-22 17:50:25.079
194,3,2,true,2019-02-22 17:50:25.079
195,3,2,true,2019-02-22 17:50:25.079
196,3,2,true,2019-02-22 17:50:25.079
197,3,2,true,2019-02-22 17:50:25.079
198,3,2,true,2019-02-22 17:50:25.079
199,3,2,true,2019-02-22 17:50:25.079
200,3,2,true,2019-02-22 17:50:25.079
3,1,1,true,2019-02-22 17:50:25.079
1,1,1,false,2019-02-22 17:50:25.08
2,1,1,false,2019-02-22 17:50:25.08
4,1,1,false,2019-02-22 17:50:25.08
5,1,1,false,2019-02-22 17:50:25.08
6,1,1,false,2019-02-22 17:50:25.08
51,1,2,false,2019-02-22 17:50:25.08
52,1,2,false,2019-02-22 17:50:25.08
54,1,2,false,2019-02-22 17:50:25.08
55,1,2,false,2019-02-22 17:50:25.08
56,1,2,false,2019-02-22 17:50:25.08
57,1,2,false,2019-02-22 17:50:25.08
58,1,2,false,2019-02-22 17:50:25.08
59,1,2,false,2019-02-22 17:50:25.08
60,1,2,false,2019-02-22 17:50:25.08
61,1,2,false,2019-02-22 17:50:25.08
62,1,2,false,2019-02-22 17:50:25.08
63,1,2,false,2019-02-22 17:50:25.081
64,1,2,false,2019-02-22 17:50:25.081
65,1,2,false,2019-02-22 17:50:25.081
66,1,2,false,2019-02-22 17:50:25.081
102,2,3,false,2019-02-22 17:50:25.081
103,2,3,false,2019-02-22 17:50:25.081
